,state,sex,education,estimate,margin_of_error,state_abbrev,4_year_pct_students_loans_avg,4_year_avg_student_loans_avg,2-3_year_pct_students_loans_avg,2-3_year_avg_student_loans_avg,<2_year_pct_students_loans_avg,<2_year_avg_student_loans_avg,fed_student_loans_per_year,total_fed_student_loans,monthly_payment,total_cost_of_fed_loan,age_starting_work,y_intercept,gross_at_starting_age,gross_at_39
0,Alabama,total,Total,42463,488,AL,59.833333333333336,7144.724137931034,16.04,5076.1578947368425,73.46666666666667,7098.2,0.0,0.0,0.0,0.0,,,42463.0,
1,Alabama,total,Less_than_high_school_graduate,28515,1683,AL,59.833333333333336,7144.724137931034,16.04,5076.1578947368425,73.46666666666667,7098.2,0.0,0.0,0.0,0.0,16.0,-399210.0,28515.0,684360.0
2,Alabama,total,High_school_graduate_includes_equivalency,34127,1153,AL,59.833333333333336,7144.724137931034,16.04,5076.1578947368425,73.46666666666667,7098.2,0.0,0.0,0.0,0.0,18.0,-546032.0,34127.0,750794.0
3,Alabama,total,Some_college_or_associates_degree,39501,944,AL,59.833333333333336,7144.724137931034,16.04,5076.1578947368425,73.46666666666667,7098.2,5076.1578947368425,10152.315789473685,110.17930453109895,13221.516543731874,20.0,-724239.5165437319,26279.483456268128,776798.4834562681
4,Alabama,total,Bachelors_degree,56640,1667,AL,59.833333333333336,7144.724137931034,16.04,5076.1578947368425,73.46666666666667,7098.2,7144.724137931034,28578.896551724138,310.15612709762127,37218.73525171455,22.0,-1170018.7352517145,19421.26474828545,982301.2647482854
5,Alabama,total,Graduate_or_professional_degree,70732,1893,AL,59.833333333333336,7144.724137931034,16.04,5076.1578947368425,73.46666666666667,7098.2,0.0,0.0,0.0,0.0,26.0,-1697568.0,70732.0,990248.0
6,Alabama,male,Male,51867,578,AL,59.833333333333336,7144.724137931034,16.04,5076.1578947368425,73.46666666666667,7098.2,0.0,0.0,0.0,0.0,,,51867.0,
7,Alabama,male,Less_than_high_school_graduate,32089,1079,AL,59.833333333333336,7144.724137931034,16.04,5076.1578947368425,73.46666666666667,7098.2,0.0,0.0,0.0,0.0,16.0,-449246.0,32089.0,770136.0
8,Alabama,male,High_school_graduate_includes_equivalency,41600,795,AL,59.833333333333336,7144.724137931034,16.04,5076.1578947368425,73.46666666666667,7098.2,0.0,0.0,0.0,0.0,18.0,-665600.0,41600.0,915200.0
9,Alabama,male,Some_college_or_associates_degree,51002,1153,AL,59.833333333333336,7144.724137931034,16.04,5076.1578947368425,73.46666666666667,7098.2,5076.1578947368425,10152.315789473685,110.17930453109895,13221.516543731874,20.0,-931257.5165437319,37780.48345626813,1006818.4834562681
10,Alabama,male,Bachelors_degree,71465,2183,AL,59.833333333333336,7144.724137931034,16.04,5076.1578947368425,73.46666666666667,7098.2,7144.724137931034,28578.896551724138,310.15612709762127,37218.73525171455,22.0,-1466518.7352517145,34246.26474828545,1249151.2647482855
11,Alabama,male,Graduate_or_professional_degree,92889,5549,AL,59.833333333333336,7144.724137931034,16.04,5076.1578947368425,73.46666666666667,7098.2,0.0,0.0,0.0,0.0,26.0,-2229336.0,92889.0,1300446.0
12,Alabama,female,Female,35268,544,AL,59.833333333333336,7144.724137931034,16.04,5076.1578947368425,73.46666666666667,7098.2,0.0,0.0,0.0,0.0,,,35268.0,
13,Alabama,female,Less_than_high_school_graduate,22016,1548,AL,59.833333333333336,7144.724137931034,16.04,5076.1578947368425,73.46666666666667,7098.2,0.0,0.0,0.0,0.0,16.0,-308224.0,22016.0,528384.0
